id,longitude,latitude,amenity,route,degre_de_saturation,etat
p2,3.1923382,36.7241158,waste_disposal,194,100.0,saturé
p3,3.185315,36.731513,waste_disposal,2121,97.4323439327744,saturé
p4,3.1842677,36.732211,waste_disposal,135,97.4323439327744,saturé
p5,3.1845174,36.7345726,waste_disposal,1612,97.4323439327744,saturé
p6,3.1847407,36.7357257,waste_disposal,1618,97.4323439327744,saturé
p7,3.1920843,36.7380792,waste_disposal,115,97.4323439327744,saturé
p8,3.1883707,36.7320822,waste_disposal,436,97.4323439327744,saturé
p9,3.1880564,36.7311415,waste_disposal,430,97.4323439327744,saturé
p10,3.1888549,36.7298751,waste_disposal,195,97.4323439327744,saturé
p14,3.1837484,36.7298726,waste_disposal,195,97.4323439327744,saturé
p11,3.1859505,36.7221763,waste_disposal,1458,99.49381065184967,saturé
p12,3.1863919,36.7233623,waste_disposal,1425,99.49381065184967,saturé
p13,3.1860205,36.7220575,waste_disposal,1458,99.49381065184967,saturé
