name,geometry,superficie,longitude,latitude,population
Lotissement Bousshaki F,"POLYGON ((3.1771517999999994 36.7237406, 3.1740705 36.7227362, 3.1740248 36.7228057, 3.1737338 36.7233414, 3.1736552 36.7235129, 3.1736099 36.7236119, 3.1734856 36.723883199999996, 3.1734042 36.72406089999999, 3.1733056 36.7242761, 3.1733152 36.72431160000001, 3.1730911000000006 36.72474400000001, 3.1738082 36.7248275, 3.1758486999999995 36.725065099999995, 3.1759258 36.72507459999999, 3.1759787999999998 36.72483089999999, 3.1759621999999994 36.72476569999999, 3.1760274 36.72464179999999, 3.1760359999999994 36.7245662, 3.1763020999999996 36.724173999999984, 3.1765336 36.7240761, 3.1766111 36.7240433, 3.1767998999999993 36.7239676, 3.1770401999999995 36.72384379999999, 3.1771517999999994 36.7237406))",0.08335317495743583,353429.06414010964,4400705.569581196,1407
Lotissement Bousshaki B,"POLYGON ((3.1712295 36.72100939999999, 3.1714526 36.7208855, 3.1715642 36.7207204, 3.1725255 36.720706699999994, 3.1728945999999993 36.7207411, 3.1733838 36.7209406, 3.1736156 36.7209819, 3.1737185999999995 36.7206723, 3.1738129999999996 36.7204177, 3.1740618999999994 36.7200806, 3.1741962999999997 36.719781399999995, 3.1741101999999994 36.7197466, 3.1733981999999994 36.7194595, 3.1725858 36.7191225, 3.1724728896467695 36.71907572376855, 3.1723563999999995 36.7192076, 3.1718672 36.7199506, 3.1713007 36.7199506, 3.1710947 36.720253299999996, 3.1711547999999996 36.720390900000005, 3.1707422823574007 36.72086907991609, 3.1712295 36.72100939999999))",0.05547399877059163,353173.5184208261,4400170.678404473,936
Lotissement El Djorf,"POLYGON ((3.1740876 36.7178996, 3.1753579 36.7184294, 3.1759588 36.7174043, 3.1759415999999994 36.71733549999999, 3.1763879 36.7168539, 3.1761647 36.7166887, 3.1764137 36.71648230000001, 3.175390199679122 36.715762761368865, 3.1753388 36.715831099999996, 3.1746825999999997 36.7165741, 3.1737193340891188 36.71766462800843, 3.1740876 36.7178996))",0.05673773520175097,353458.29627263814,4399754.411847795,958
Cité militaire,"POLYGON ((3.1876943 36.7379255, 3.1880631999999998 36.7381992, 3.1881765 36.73811099999999, 3.1884450999999996 36.7383044, 3.1888099 36.7383331, 3.1890548 36.7381699, 3.1892438999999997 36.73810289999999, 3.1893985999999996 36.73797259999999, 3.1894912999999994 36.7380468, 3.1896591 36.7379024, 3.189847 36.7377569, 3.1898112 36.73755979999999, 3.1895935999999994 36.73738989999999, 3.1895288 36.7374573, 3.1893389999999995 36.73729289999999, 3.1892858 36.737338, 3.1890824999999996 36.737183599999994, 3.1886985999999995 36.73694199999999, 3.1886134999999998 36.7368961, 3.1883419999999996 36.7367924, 3.1873431 36.736469799999995, 3.1865116 36.7361713, 3.186055 36.73655130000001, 3.1860023999999996 36.736566599999996, 3.1850179999999995 36.7369411, 3.1851483 36.73741489999999, 3.1856836 36.737840799999994, 3.1859949 36.73779909999999, 3.1861266 36.73777659999999, 3.1862783 36.737652100000005, 3.186557 36.7378628, 3.1866245000000006 36.73782729999999, 3.1868293 36.7377198, 3.1869261999999994 36.73762949999999, 3.1874171 36.73721429999999, 3.1874975 36.73720099999999, 3.1876707999999994 36.7373433, 3.188038 36.7376407, 3.1876943 36.7379255))",0.07955205212288011,354816.3925934132,4402548.825063985,1343
Cité Soummam,"POLYGON ((3.1913402999999994 36.7233749, 3.1912766 36.7233573, 3.1904791 36.7232895, 3.1900368 36.723301899999996, 3.1866949 36.724283699999994, 3.1874593999999994 36.7261368, 3.1903615 36.7259176, 3.1913538999999997 36.725737, 3.1913991 36.72570879999999, 3.1915604999999996 36.7253801, 3.192164 36.72417829999999, 3.1921692999999998 36.7241225, 3.1921479 36.72406869999999, 3.1920996000000006 36.724023599999995, 3.1914829 36.723437499999996, 3.1914061 36.7234003, 3.1913402999999994 36.7233749))",0.1739440909827594,355054.3040431312,4400806.78484726,2937
Cité Universitaire pour filles El Alia,"POLYGON ((3.1730212 36.7152212, 3.1746438 36.7143572, 3.1746814999999997 36.7142859, 3.1742629 36.71392719999999, 3.1741826 36.7139031, 3.1741477 36.7138945, 3.1740322 36.7138111, 3.1740633000000003 36.7137815, 3.1740914 36.71375479999999, 3.172718 36.71264999999999, 3.1725061 36.712613499999996, 3.1725007 36.7125382, 3.1722860999999996 36.7123812, 3.1717415999999994 36.7124157, 3.1710386 36.7120868, 3.1706258 36.7126049, 3.1706150999999996 36.7126995, 3.1696871 36.713430499999994, 3.1696039 36.71348209999999, 3.1699927999999997 36.71399819999999, 3.1700893999999997 36.7140624, 3.1703665999999995 36.714543799999994, 3.1704172999999995 36.71451689999999, 3.1711179 36.715186700000004, 3.1712025 36.7151376, 3.171211265370773 36.71514347987624, 3.1714980999999995 36.7150107, 3.1717791999999996 36.71500650000001, 3.1720797 36.71485559999999, 3.1729727999999997 36.715258, 3.1730212 36.7152212))",0.14363562964015286,353106.11875364586,4399288.9833143195,2425
Maison de retraite de Bab Ezzouar,"POLYGON ((3.1826618 36.727978099999994, 3.1819687999999995 36.7279672, 3.1818593999999996 36.72824129999999, 3.1813139999999995 36.72949719999999, 3.1821861 36.72945829999999, 3.1823657999999995 36.7294626, 3.1826205999999995 36.729482, 3.1828596999999994 36.7295297, 3.1831328999999995 36.729555100000006, 3.1834842999999995 36.7295572, 3.1834493999999998 36.72922620000001, 3.1833891999999997 36.72885889999999, 3.1833585999999996 36.72867200000001, 3.1832288 36.7284445, 3.1830453999999997 36.72811459999999, 3.1826618 36.727978099999994))",0.03883609430809352,354272.08338491316,4401376.7597899055,655
Lot. Douzi III,"POLYGON ((3.1824712 36.736816299999994, 3.1836489 36.73717729999999, 3.1840994999999994 36.7373535, 3.1842605 36.73743519999999, 3.1846842999999994 36.7377511, 3.184754 36.7377576, 3.1847218 36.7370892, 3.1846226 36.7365475, 3.1839873 36.7333061, 3.1839399999999998 36.7330578, 3.1838628 36.7329781, 3.1826064 36.7331359, 3.1825285999999995 36.733126199999994, 3.1824726999999995 36.7331193, 3.1825088 36.73355339999999, 3.1823109 36.73356030000001, 3.1822569000000005 36.733858399999995, 3.1820372999999997 36.7346327, 3.1818361999999993 36.735382900000005, 3.1816857 36.7355123, 3.1814736553986673 36.7364752422924, 3.1820112751491125 36.73668916235955, 3.1824712 36.736816299999994))",0.14852818962314432,354354.16037509835,4402280.514706029,2508
Lot. Douzi I,"POLYGON ((3.1795685999999996 36.73091839999999, 3.1795365 36.731083899999994, 3.1793647999999997 36.7310732, 3.1793455999999995 36.73129200000001, 3.1805366999999998 36.731361099999994, 3.1806119999999996 36.7313655, 3.1806386999999994 36.73118709999999, 3.1806656999999996 36.7310065, 3.1807028 36.73093519999999, 3.1807994 36.7307073, 3.1811694999999998 36.7298668, 3.1813139999999995 36.72949719999999, 3.1818593999999996 36.72824129999999, 3.1817023 36.72822609999999, 3.1812090000000004 36.7281782, 3.1800697999999996 36.7280546, 3.1795685999999996 36.73091839999999))",0.07163126755372307,354053.970225603,4401484.6674941415,1209
Lot. Douzi II,"POLYGON ((3.1802818999999998 36.7360971, 3.1803887 36.7361013, 3.1804056999999997 36.7359926, 3.1806993 36.73600630000001, 3.1807336999999998 36.735772299999994, 3.1803076 36.7357358, 3.1803432999999997 36.7354063, 3.1816857 36.7355123, 3.1818361999999993 36.735382900000005, 3.1820372999999997 36.7346327, 3.1822569000000005 36.733858399999995, 3.1823109 36.73356030000001, 3.1825088 36.73355339999999, 3.1824726999999995 36.7331193, 3.1822291999999996 36.73306920000001, 3.1820411 36.732928599999994, 3.1817684999999996 36.7326091, 3.1817362999999994 36.7325714, 3.1816773999999994 36.73203229999999, 3.1810137 36.73207339999999, 3.1809953 36.7320399, 3.1809025999999996 36.731490599999994, 3.1810837999999997 36.73137359999999, 3.1814081999999995 36.73118339999999, 3.1806386999999994 36.73118709999999, 3.1806119999999996 36.7313655, 3.1805366999999998 36.731361099999994, 3.1805558999999994 36.7320195, 3.1805837 36.7326832, 3.1799261 36.732683299999984, 3.1799518 36.73251299999999, 3.1792735999999997 36.7324833, 3.1791854 36.732480100000004, 3.1791364 36.733093399999994, 3.1790023 36.73381569999999, 3.1788110999999994 36.73499259999999, 3.1787514 36.7354531, 3.1787501999999996 36.7354622, 3.178707028915808 36.73555410528008, 3.1794423999999997 36.735799099999994, 3.1802677497009806 36.736132677900706, 3.1802818999999998 36.7360971))",0.16670019825229052,354056.52746126987,4402088.410492037,2815
