id,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,FID_1,osm_id_1,code_1,fclass_1,name_1,ref_1,oneway_1,maxspeed_1,layer_1,bridge_1,tunnel_1,Cartier,geometry
0,25984482,5114,secondary,,CW 16,F,40,0,F,F,493,25984482,5114,secondary,,CW 16,F,40,0.0,F,F, ,"LINESTRING (3.2026061 36.7182089, 3.2020608 36.7175211, 3.201533 36.7167945, 3.2013983 36.7166565, 3.2012534 36.7165388)"
1,25984503,5114,secondary,Boulevard Kada Rezig,CW 16,F,40,0,F,F,495,25984503,5114,secondary,Boulevard Kada Rezig,CW 16,F,40,0.0,F,F, ,"LINESTRING (3.1918696 36.7129083, 3.191906 36.7129718, 3.19195 36.7130327, 3.1920623 36.7131531, 3.192125 36.7132159, 3.1922778 36.7133279, 3.1924077 36.7134128, 3.1925079 36.7134645, 3.1925911 36.7135001, 3.1926388 36.7135192, 3.1947859 36.714194, 3.1949678 36.7142503, 3.1964347 36.7147045, 3.1970269 36.7148851, 3.1971911 36.714947, 3.1972706 36.7149796, 3.1974892 36.7150944, 3.1976342 36.7151627)"
2,25984732,5114,secondary,Rue Amar El Adlani,,F,0,0,F,F,500,25984732,5114,secondary,Rue Amar El Adlani,,F,0,0.0,F,F, ,"LINESTRING (3.1764167 36.7251044, 3.1764993 36.7250141, 3.1765796 36.7248833, 3.1767684 36.7246196, 3.1770844 36.7242089, 3.1774029 36.7237899, 3.1775393 36.7236104, 3.177977 36.7229912, 3.1783976 36.7223996, 3.178711 36.7219459, 3.1790413 36.7214983, 3.1794079 36.7209651, 3.1801025 36.719955, 3.1802071 36.7198303, 3.1803331 36.7197034, 3.1804619 36.7196153, 3.1806228 36.7195185, 3.1810326 36.7192672, 3.1811355 36.7192095, 3.1812031 36.7191587)"
3,25985006,5112,trunk,Pont Dar ElBaida,RN 5,F,60,1,T,F,507,25985006,5112,trunk,Pont Dar ElBaida,RN 5,F,60,1.0,T,F, ,"LINESTRING (3.1965067 36.7252755, 3.1968164 36.7253006, 3.1972134 36.7253534)"
4,25985012,5112,trunk,,RN 5,F,60,0,F,F,508,25985012,5112,trunk,,RN 5,F,60,0.0,F,F, ,"LINESTRING (3.1961504 36.7253365, 3.1959408 36.7253411, 3.1955705 36.7253457, 3.1952558 36.725357, 3.195009 36.7253795, 3.1943835 36.725456, 3.1940078 36.7255122, 3.1934829 36.7255978, 3.1931946 36.7256449, 3.1928135 36.725707, 3.1925391 36.7257518, 3.1923703 36.7257792, 3.1913763 36.7259408, 3.1909093 36.7260138, 3.190447 36.7260699, 3.1902788 36.7260886, 3.190029 36.7261092, 3.1896507 36.7261429, 3.1892771 36.726171, 3.1873069 36.7262604, 3.186852 36.7262608, 3.1860436 36.7262316, 3.185328 36.7261706, 3.1847162 36.7261082, 3.1840439 36.7260471, 3.1831545 36.7259523, 3.1830495 36.7259414)"
5,25985055,5131,motorway_link,Branchement N5-N5E,,F,40,0,F,F,510,25985055,5131,motorway_link,Branchement N5-N5E,,F,40,0.0,F,F, ,"LINESTRING (3.1961504 36.7253365, 3.1959191 36.7253833, 3.1957689 36.7254231, 3.1956321 36.7254919, 3.1955194 36.7255886, 3.1954483 36.7257069, 3.1954189 36.7258326, 3.1954349 36.7259649, 3.195514 36.7261045, 3.1956213 36.7262056, 3.1957649 36.7262841, 3.1959244 36.7263195, 3.1961041 36.7263239, 3.196316 36.7262637, 3.1964635 36.7261669, 3.1965467 36.7260594, 3.1965976 36.7259176, 3.1966846 36.7254577)"
6,25985070,5131,motorway_link,Branchement N5-N5E,,F,40,0,F,F,511,25985070,5131,motorway_link,Branchement N5-N5E,,F,40,0.0,F,F, ,"LINESTRING (3.194617 36.7253518, 3.1948181 36.7252748, 3.1950052 36.7251992, 3.1952423 36.7250738, 3.1955114 36.7249084, 3.1958921 36.7246239, 3.1959599 36.7245699, 3.1965258 36.7241191, 3.1969095 36.7237898, 3.1973068 36.7234401, 3.1979673 36.7229622)"
7,25985084,5131,motorway_link,,RN 5E,F,40,0,F,F,513,25985084,5131,motorway_link,,RN 5E,F,40,0.0,F,F, ,"LINESTRING (3.1929975 36.7295293, 3.1933246 36.7295956, 3.1935464 36.7296161, 3.1937878 36.7296025, 3.1940341 36.7295515, 3.1942655 36.72947, 3.1946999 36.7292951, 3.1948588 36.7292383, 3.1951164 36.7291996, 3.1953844 36.7291693, 3.1956442 36.7291495, 3.1958188 36.7291163, 3.1959402 36.7290784, 3.1960258 36.7290383, 3.1961062 36.7289933, 3.1961796 36.7289458, 3.1962502 36.7288879, 3.1963111 36.7288158, 3.196356 36.7287494, 3.1963976 36.7286705, 3.1964403 36.7285832, 3.1964642 36.7285019, 3.1965348 36.728112)"
8,25985094,5131,motorway_link,,,F,30,0,F,F,515,25985094,5131,motorway_link,,,F,30,0.0,F,F, ,"LINESTRING (3.196433 36.7297483, 3.196405 36.7295873, 3.1963257 36.7294466, 3.1962368 36.7293852, 3.1960827 36.7293291, 3.1956794 36.7293008, 3.1953062 36.7292858, 3.1949853 36.7293403, 3.1948499 36.7294114, 3.1947391 36.7295355, 3.1947014 36.729605, 3.1946771 36.7296772, 3.1946611 36.7297845, 3.1946763 36.7298873, 3.1947438 36.7300328, 3.1948312 36.7301263, 3.19499 36.730261)"
9,25985143,5131,motorway_link,,,F,60,0,F,F,518,25985143,5131,motorway_link,,,F,60,0.0,F,F, ,"LINESTRING (3.196064 36.7345315, 3.1959843 36.7335645, 3.1959585 36.733083, 3.1959328 36.7324845, 3.1958899 36.7320305, 3.1957869 36.7317347, 3.1955894 36.7313839, 3.1953405 36.7310812, 3.1950659 36.7308405, 3.1948265 36.7306915, 3.1946057 36.7305789, 3.194126 36.7303247)"
